Category,Modifiers,Command,Status,Description,Brief,Codewright,Personal,Notes,
Selections/Marks,`Alt`,_number_,not done,Set mark *number*,x,x,,Brief. Keypad numbers only?  Not keypad?,
Scrap/Clipboard,`Ctrl`,`/`,not done,Toggle clipboard/scrap,,x,,,Codewright
Buffer / File,`Alt`,`-`,done,Previous buffer,x,x,,,Brief
Buffer / File,`Ctrl`,`-`,done,Close Buffer,x,x,,,Brief
Editing,`Ctrl`,`<`,done 25%,Slide-out Prompt,,x,,,Codewright
Buffer / File,`Alt`,`=`,done,Next buffer,,,x,,Personal
Editing,`Ctrl`,`>`,done 25%,Slide-in Prompt,,x,,,Codewright
Selections/Marks,`Alt`,`A`,not done,Begin selection (exclusive),x,x,,,Brief
Selections/Marks,`Ctrl`,`A`,not done,Close/open Selection,,x,,,Codewright
System,`Ctrl` + `Shift`,`A`,not done,Text Mode / Deselect / Unfold,,x,,,Codewright
Buffer / File,`Alt`,`B`,done(vs),List of buffers,x,x,,,Brief
Cursor Motion/Scrolling,`Ctrl`,`B`,not done,Make current line bottom of window,x,x,,,Brief
Editing,`Alt`,`Bksp`,done,Delete next word,,x,,,Codewright
Editing,`Ctrl`,`Bksp`,done,Delete previous word,x,x,,,Brief
Editing,`Shift`,`Bksp`,done,Delete character to left,,x,,Codewright (same as `Bksp`),
Editing,,`Bksp`,done,Delete character to left,x,x,,,Brief
System,`Ctrl`,`Break`,n/a,Halt,x,,,,Brief
Selections/Marks,`Alt`,`C`,not done,Begin selection (column),x,x,,,Brief
Cursor Motion/Scrolling,`Ctrl`,`C`,not done,Center current line in window,x,x,,,Brief
Window,`Ctrl` + `Shift`,`C`,not done,Compact Mode,,x,,,Codewright
Editing,`Alt`,`D`,done,Delete line,x,x,,,Brief
Cursor Motion/Scrolling,`Ctrl`,`D`,not done,Scroll down 1 line,x,x,,,Brief
Scrap/Clipboard,`Shift`,`Del`,done,Cut,,x,,,Codewright (same as `Numpad -`)
Editing,,`Del`,done,Delete character,x,x,,,Brief
Window,`Alt` + `Shift`,`Down`,not done,Next split window pane,,x,,,Codewright
Window,`Shift`,`Down`,not done,Select window below,,x,,,Codewright
Cursor Motion/Scrolling,,`Down`,done,Line down,x,x,,,Brief
Buffer / File,`Alt`,`E`,done(vs),Open file,x,x,,,Brief
Cursor Motion/Scrolling,`Ctrl`,`E`,not done,Scroll up 1 line,x,x,,,Brief
Cursor Motion/Scrolling,`Ctrl`,`End`,not done,Bottom of window,x,x,,,Brief
Cursor Motion/Scrolling,`Shift`,`End`,not done,Right window edge,x,x,,,Brief
Cursor Motion/Scrolling,,`End`,done 50%,End of line,x,x,,,Brief
Cursor Motion/Scrolling,,`End` + `End`,done 50%,Bottom of window,x,x,,,Brief
Cursor Motion/Scrolling,,`End` + `End` + `End`,done 50%,Bottom of file,x,x,,,Brief
Editing,`Ctrl`,`Enter`,done,Insert line below,x,x,,,Brief
System,`Shift`,`Enter`,not done,Expand/Collapse,,x,,,Codewright
Editing,,`Enter`,done,Enter,x,x,,,Brief
System,,`Esc`,not done,Text Mode / Deselect / Unfold,x,x,,,Brief
Buffer / File,`Alt`,`F`,wip,Display filename,x,x,,,Brief
Window,`Alt`,`F1`,not done,Borders on/off,x,x,,,Brief. Codewright: CodeSense parameter
System,`Shift`,`F1`,n/a,CodeSense Hover Tooltip,,x,,,Codewright
Window,,`F1`,not done,Move to window,x,x,,,Brief
System,`Alt`,`F10`,not done,Compile buffer,x,x,,,Brief
System,,`F10`,not done,API interface / Execute Macro,x,x,,,Brief (same as VSCode F1?)
Window,`Alt`,`F2`,not done,Zoom/Unzoom window,x,x,,,Brief
Window,,`F2`,not done,Resize window,x,x,,,Brief
Window,,`F3`,not done,Split window,x,x,,,Brief
System,`Ctrl`,`F4`,not done,Close Window,,x,,,Codewright just window
Window,,`F4`,not done,Delete window,x,x,,,Brief
Search/Replace,`Alt`,`F5`,not done,Reverse Search,x,x,,,Brief
Search/Replace,`Ctrl`,`F5`,not done,Ignore case on/off,x,x,,,Brief
Search/Replace,`Shift`,`F5`,done(vs),Search again,x,x,,,Brief *use editor.action.addSelectionToNextFindMatch instead?*
Search/Replace,,`F5`,done(vs),Search,x,x,,,Brief
Search/Replace,`Alt`,`F6`,not done,Reverse Replace,x,x,,,Brief
Search/Replace,`Ctrl`,`F6`,not done,Regular expressions on/off,x,x,,,Brief
Search/Replace,`Shift`,`F6`,done(vs),Replace again,x,x,,,Brief
Search/Replace,,`F6`,done(vs),Replace,x,x,,,Brief
System,`Alt`,`F7`,not done,Load recording file,x,x,,,Brief
System,`Shift`,`F7`,not done,Pause Macro,x,?,,,Brief
System,,`F7`,not done,Record keys toggle,x,x,,,Brief
System,`Alt`,`F8`,not done,Write recording file,,x,,,Codewright
System,,`F8`,not done,Playback keystrokes,x,x,,,Brief
System,`Shift`,`F9`,n/a,Delete Macro File / Unload DLL,x,x,,,Brief
System,,`F9`,n/a,Load Macro File / Load DLL,x,x,,,Brief
Cursor Motion/Scrolling,`Alt`,`G`,done,Go to line (prompt),x,x,,,Brief
System,`Ctrl`,`G`,done(vs),Display routines,,x,,,Codewright (popup? Fold?)
System,`Alt`,`H`,not done,Help,x,,,,Brief
System,`Ctrl` + `Shift`,`H`,not done,Binary/Hex view,,x,,,Codewright
Cursor Motion/Scrolling,`Ctrl`,`Home`,not done,Top of window,x,x,,,Brief
Cursor Motion/Scrolling,`Shift`,`Home`,not done,Left window edge,,x,,,Codewright
Cursor Motion/Scrolling,,`Home`,done 75%,Beginning of line,x,x,,,Brief
Cursor Motion/Scrolling,,`Home` + `Home`,done 75%,Top of window,x,x,,,Brief
Cursor Motion/Scrolling,,`Home` + `Home` + `Home`,done 75%,Top of file,x,x,,,Brief
System,`Alt`,`I`,not done,Insert mode on/off,x,x,,,Brief
Scrap/Clipboard,`Ctrl`,`Ins`,done,Copy,,x,,,Codewright (same as `Numpad +`)
Scrap/Clipboard,,`Ins`,done,Paste,x,x,,,Brief
Selections/Marks,`Alt`,`J` _number_,not done,Go to mark (prompt),x,x,,,Brief
Editing,`Alt`,`K`,done,Delete to end of line,x,x,,,Brief
Editing,`Ctrl`,`K`,done,Delete to start of line,,x,,,Codewright
Search/Replace,`Ctrl` + `Shift`,`K`,not done,Kiss matching brace,,x,,,Codewright
Selections/Marks,`Alt`,`L`,not done,Begin selection (line),x,x,,,Brief
Cursor Motion/Scrolling,`Alt` + `Shift`,`Left`,not done,Previous Document Position (Back),,x,,,Codewright
